OPR_DT,OPR_HR,MW
1/19/2019,6,41.15993
1/19/2019,7,42.3489
1/19/2019,8,39.05175
1/19/2019,9,32.52155
1/19/2019,10,30.38552
1/19/2019,11,28.12295
1/19/2019,12,23.33634
1/19/2019,13,18.47002
1/19/2019,14,18.71441
1/19/2019,15,23.68287
1/19/2019,16,31.8138
1/19/2019,17,42.18227
1/19/2019,18,57.99788
1/19/2019,19,59.21352
1/19/2019,20,53.15283
1/19/2019,21,47.06424
1/19/2019,22,42.59929
1/19/2019,23,42.37119
1/19/2019,24,39.9999
1/20/2019,1,40.18462
1/20/2019,2,37.96282
1/20/2019,3,36.63455
1/20/2019,4,37.00711
1/20/2019,5,37.58788
1/20/2019,6,38.4303
1/20/2019,7,41.89418
1/20/2019,8,38.60363
1/20/2019,9,36.67133
1/20/2019,10,32.61525
1/20/2019,11,30.46376
1/20/2019,12,31.33171
1/20/2019,13,28.28433
1/20/2019,14,29.789
1/20/2019,15,28.93372
1/20/2019,16,36.585
1/20/2019,17,42.21583
1/20/2019,18,54.30205
1/20/2019,19,57.95944
1/20/2019,20,48.61718
1/20/2019,21,43.3597
1/20/2019,22,39.73482
1/20/2019,23,36.72691
1/20/2019,24,35.8156
1/21/2019,1,33.04657
1/21/2019,2,32.20874
1/21/2019,3,31.11212
1/21/2019,4,32.77115
1/21/2019,5,33.02888
1/21/2019,6,39.95671
1/21/2019,7,44.87344
1/21/2019,8,45.10789
1/21/2019,9,37.28253
1/21/2019,10,31.26859
1/21/2019,11,34.38193
1/21/2019,12,32.54512
1/21/2019,13,33.25759
1/21/2019,14,35.35722
1/21/2019,15,29.80071
1/21/2019,16,32.24278
1/21/2019,17,41.86287
1/21/2019,18,64.31825
1/21/2019,19,59.92169
1/21/2019,20,56.58026
1/21/2019,21,52.59511
1/21/2019,22,45.58266
1/21/2019,23,41.6002
1/21/2019,24,37.31076
1/22/2019,1,36.05308
1/22/2019,2,33.82442
1/22/2019,3,33.75655
1/22/2019,4,35.6725
1/22/2019,5,37.10975
1/22/2019,6,43.75343
1/22/2019,7,63.77198
1/22/2019,8,59.46848
1/22/2019,9,41.30931
1/22/2019,10,33.61452
1/22/2019,11,30.77528
1/22/2019,12,29.7242
1/22/2019,13,28.9311
1/22/2019,14,29.85429
1/22/2019,15,28.65771
1/22/2019,16,37.34475
1/22/2019,17,45.95462
1/22/2019,18,76.10341
1/22/2019,19,68.91397
1/22/2019,20,61.05983
1/22/2019,21,56.49348
1/22/2019,22,49.86155
1/22/2019,23,44.15987
1/22/2019,24,41.34232
1/23/2019,1,39.56841
1/23/2019,2,38.20263
1/23/2019,3,37.07767
1/23/2019,4,37.13661
1/23/2019,5,40.48042
1/23/2019,6,45.80649
1/23/2019,7,62.73579
1/23/2019,8,54.1271
1/23/2019,9,40.50825
1/23/2019,10,33.79142
1/23/2019,11,29.27466
1/23/2019,12,27.45693
1/23/2019,13,25.76254
1/23/2019,14,24.62682
1/23/2019,15,25.4466
1/23/2019,16,33.88445
1/23/2019,17,43.67014
1/23/2019,18,63.82423
1/23/2019,19,64.04293
1/23/2019,20,57.72519
1/23/2019,21,53.29735
1/23/2019,22,47.13733
1/23/2019,23,42.23363
1/23/2019,24,41.46053
1/24/2019,1,36.63538
1/24/2019,2,35.32845
1/24/2019,3,34.36769
1/24/2019,4,34.84568
1/24/2019,5,37.15046
1/24/2019,6,43.48403
1/24/2019,7,51.00188
1/24/2019,8,47.82113
1/24/2019,9,39.29329
1/24/2019,10,32.72981
1/24/2019,11,31.13058
1/24/2019,12,27.79192
1/24/2019,13,27.47245
1/24/2019,14,27.37241
1/24/2019,15,26.71046
1/24/2019,16,35.8757
1/24/2019,17,43.86793
1/24/2019,18,62.1354
1/24/2019,19,64.35293
1/24/2019,20,54.77287
1/24/2019,21,49.9652
1/24/2019,22,45.5286
1/24/2019,23,41.26046
1/24/2019,24,38.98805
1/25/2019,1,36.22714
1/25/2019,2,35.45318
1/25/2019,3,33.54562
1/25/2019,4,33.88686
1/25/2019,5,36.28467
1/25/2019,6,43.17971
1/25/2019,7,53.91221
1/25/2019,8,49.85723
1/25/2019,9,39.24377
1/25/2019,10,33.21888
1/25/2019,11,29.69743
1/25/2019,12,25.96076
1/25/2019,13,24.08332
1/25/2019,14,25.42834
1/25/2019,15,28.22198
1/25/2019,16,36.16102
1/25/2019,17,44.14726
1/25/2019,18,61.41863
1/25/2019,19,65.54609
1/25/2019,20,54.87514
1/25/2019,21,51.41764
1/25/2019,22,46.24647
1/25/2019,23,41.61533
1/25/2019,24,39.79666
1/26/2019,1,37.97016
1/26/2019,2,36.08293
1/26/2019,3,35.52374
1/26/2019,4,35.30453
1/26/2019,5,36.62275
1/26/2019,6,40.6218
1/26/2019,7,43.22675
1/26/2019,8,40.06895
1/26/2019,9,35.38578
1/26/2019,10,27.50586
1/26/2019,11,24.0851
1/26/2019,12,23.2912
1/26/2019,13,20.16676
1/26/2019,14,21.50989
1/26/2019,15,21.68228
1/26/2019,16,33.27461
1/26/2019,17,40.88235
1/26/2019,18,51.70385
1/26/2019,19,56.56456
1/26/2019,20,48.45808
1/26/2019,21,44.69712
1/26/2019,22,42.35942
1/26/2019,23,40.86922
1/26/2019,24,37.96661
1/27/2019,1,36.75132
1/27/2019,2,36.06282
1/27/2019,3,34.9451
1/27/2019,4,34.75423
1/27/2019,5,35.90722
1/27/2019,6,38.4475
1/27/2019,7,40.32108
1/27/2019,8,38.42653
1/27/2019,9,30.04301
1/27/2019,10,24.88159
1/27/2019,11,17.13762
1/27/2019,12,15.09515
1/27/2019,13,11.34466
1/27/2019,14,13.82475
1/27/2019,15,21.94848
1/27/2019,16,33.02394
1/27/2019,17,38.90601
1/27/2019,18,48.88779
1/27/2019,19,53.3033
1/27/2019,20,47.20206
1/27/2019,21,45.17486
1/27/2019,22,41.2507
1/27/2019,23,39.00552
1/27/2019,24,35.19111
1/28/2019,1,38.14489
1/28/2019,2,35.46702
1/28/2019,3,34.91573
1/28/2019,4,34.79032
1/28/2019,5,38.25786
1/28/2019,6,40.53977
1/28/2019,7,50.06743
1/28/2019,8,47.55195
1/28/2019,9,36.86733
1/28/2019,10,35.27911
1/28/2019,11,32.83503
1/28/2019,12,31.37129
1/28/2019,13,32.74557
1/28/2019,14,33.60292
1/28/2019,15,36.81499
1/28/2019,16,41.60343
1/28/2019,17,47.86485
1/28/2019,18,64.77953
1/28/2019,19,58
1/28/2019,20,51.73843
1/28/2019,21,49.69764
1/28/2019,22,44.03349
1/28/2019,23,40.31635
1/28/2019,24,38.94468
1/29/2019,1,39.5413
1/29/2019,2,36.85529
1/29/2019,3,35.01291
1/29/2019,4,34.61678
1/29/2019,5,38.28661
1/29/2019,6,41.69608
1/29/2019,7,50.69622
1/29/2019,8,52.09785
1/29/2019,9,43.18557
1/29/2019,10,40.52271
1/29/2019,11,36.43089
1/29/2019,12,34.3997
1/29/2019,13,32.39504
1/29/2019,14,32.22256
1/29/2019,15,33.80696
1/29/2019,16,39.4532
1/29/2019,17,43.6542
1/29/2019,18,58.66975
1/29/2019,19,60.21255
1/29/2019,20,52.72207
1/29/2019,21,49.89655
1/29/2019,22,43.15796
1/29/2019,23,42.03963
1/29/2019,24,39.9157
1/30/2019,1,36.50521
1/30/2019,2,35.20957
1/30/2019,3,34.84543
1/30/2019,4,34.84609
1/30/2019,5,37.28483
1/30/2019,6,41.90692
1/30/2019,7,50.51089
1/30/2019,8,54.54118
1/30/2019,9,41.41433
1/30/2019,10,36.12731
1/30/2019,11,33.27003
1/30/2019,12,31.92811
1/30/2019,13,29.66311
1/30/2019,14,31.18727
1/30/2019,15,31.64261
1/30/2019,16,38.24253
1/30/2019,17,49.00484
1/30/2019,18,59.8353
1/30/2019,19,63.24453
1/30/2019,20,55.75068
1/30/2019,21,52.00153
1/30/2019,22,46.32492
1/30/2019,23,41.84744
1/30/2019,24,37.93031
1/31/2019,1,39.03553
1/31/2019,2,37.26448
1/31/2019,3,36.15564
1/31/2019,4,37.21094
1/31/2019,5,38.4817
1/31/2019,6,44.16667
1/31/2019,7,51.23893
1/31/2019,8,51.35921
1/31/2019,9,45.44537
1/31/2019,10,45.64502
1/31/2019,11,42.59237
1/31/2019,12,39.79649
1/31/2019,13,38.20705
1/31/2019,14,37.1574
1/31/2019,15,38.19402
1/31/2019,16,41.28361
1/31/2019,17,46.12609
1/31/2019,18,63.41748
1/31/2019,19,65.4118
1/31/2019,20,56.24515
1/31/2019,21,50.46076
1/31/2019,22,45.09322
1/31/2019,23,43.36876
1/31/2019,24,40.7733
2/1/2019,1,37.64196
2/1/2019,2,36.85529
2/1/2019,3,36.57865
2/1/2019,4,36.37092
2/1/2019,5,37.6631
2/1/2019,6,43.93543
2/1/2019,7,51.1418
2/1/2019,8,49.31497
2/1/2019,9,38.6414
2/1/2019,10,38.11111
2/1/2019,11,35.37099
2/1/2019,12,30.81256
2/1/2019,13,30.93931
2/1/2019,14,36.18564
2/1/2019,15,37.12493
2/1/2019,16,41.75219
2/1/2019,17,48.90665
2/1/2019,18,54.72936
2/1/2019,19,58.2127
2/1/2019,20,51.18205
2/1/2019,21,48.49549
2/1/2019,22,45.73276
2/1/2019,23,41.54092
2/1/2019,24,38.61997
2/2/2019,1,33.67707
2/2/2019,2,31.70813
2/2/2019,3,31.32651
2/2/2019,4,31.6387
2/2/2019,5,33.95272
2/2/2019,6,35.14667
2/2/2019,7,36.89307
2/2/2019,8,38.00279
2/2/2019,9,41.51714
2/2/2019,10,40.98431
2/2/2019,11,38.47628
2/2/2019,12,36.86063
2/2/2019,13,35.58461
2/2/2019,14,35.01306
2/2/2019,15,33.27172
2/2/2019,16,35.542
2/2/2019,17,40.76385
2/2/2019,18,47.77759
2/2/2019,19,49.25235
2/2/2019,20,46.53377
2/2/2019,21,43.75586
2/2/2019,22,41.88617
2/2/2019,23,39.12757
2/2/2019,24,36.00963
2/3/2019,1,32.55292
2/3/2019,2,32.36108
2/3/2019,3,30.83229
2/3/2019,4,30.04239
2/3/2019,5,33.54533
2/3/2019,6,37.23712
2/3/2019,7,39.66423
2/3/2019,8,37.70165
2/3/2019,9,32.2073
2/3/2019,10,31.37011
2/3/2019,11,28.0163
2/3/2019,12,23.43378
2/3/2019,13,20.74154
2/3/2019,14,21.80056
2/3/2019,15,24.97184
2/3/2019,16,30.09848
2/3/2019,17,39.61727
